codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,104,ZONA D,0,25190,D-ESCUELA DE EDUCACION MEDIA N° 4  DE 19  HOMERO MANZI,8,1881,6,11
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,105,ZONA E,0,25059,E-ESC. PRIMARIA COMÚN Nº 08 D.E. 13 REINO DE THAILANDIA,13,3069,8,27
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,105,ZONA E,0,25169,E-ESC. PRIMARIA COMÚN Nº 17 D.E. 19 GASPAR LUCILO BENAVENTO,13,2910,11,25
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,105,ZONA E,0,25172,E-ESCUELA DE JORNADA SIMPLE Nº 08 D.E. 21 JUDITH Y DEMETRIO DEMARCHI,12,2854,6,17
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,105,ZONA E,0,25175,E-ESCUELA N° 16  DE 13 DR. TOMÁS A. LE BRETÓN,7,1677,1,17
11,ARGENTINA,10,BUENOS AIRES,1,BUENOS AIRES,1,C.A. BUENOS AIRES,3611,C.A. BUENOS AIRES,1,DISTRITO BUENOS AIRES,105,ZONA E,0,25191,E-ESCUELA DE JORNADA SIMPLE Nº 03 D.E. 21 CRISTÓBAL COLÓN,14,3288,10,11
11,ARGENTINA,10,BUENOS AIRES,11,CHACABUCO,1,CHACABUCO,4368,CHACABUCO,1,DISTRITO CHACABUCO,1,ZONA CHACABUCO,0,26080,POR DEFINIR - ZONA CHACABUCO,2,316,6,0
11,ARGENTINA,10,BUENOS AIRES,9,ESCOBAR,1,ESCOBAR,4141,BELÉN DE ESCOBAR,1,DISTRITO ESCOBAR,1,ESCOBAR,0,25146,K-ESCOBAR-ESC. SECUNDARIA BASICA Nº23,10,2280,10,12
11,ARGENTINA,10,BUENOS AIRES,4,ESTEBAN ECHEVERRÍA,1,ESTEBAN ECHEVERRÍA,4135,NUEVE DE ABRIL,1,DISTRITO NUEVE DE ABRIL,1,NUEVE DE ABRIL,0,25061,G-ESTEBAN ECHEVERIA-ESC. SECUNDARIA BASICA Nº4,13,3081,18,19
11,ARGENTINA,10,BUENOS AIRES,4,ESTEBAN ECHEVERRÍA,1,ESTEBAN ECHEVERRÍA,4135,NUEVE DE ABRIL,1,DISTRITO NUEVE DE ABRIL,1,NUEVE DE ABRIL,0,25185,H-OLIMPO-ESCUELA DE EDUCACIÓN PRIMARIA N°16 REPÚBLICA FRANCESA,13,3088,25,17
